Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2020-11-10,56.1,59.0,55.7,58.55,57.66,6385759.0,16504.0,368177838.0,3831637.0,60.0,3.3,2.45
2020-11-09,55.75,56.55,54.75,55.7,55.64,2668499.0,7708.0,148477289.0,1099140.0,41.19,1.8,-0.05
2020-11-06,54.2,55.3,53.35,54.75,54.48,1552746.0,2556.0,84592028.0,330372.0,21.28,1.95,0.55
2020-11-05,53.2,54.4,53.15,54.1,53.79,3210803.0,11381.0,172694762.0,1503689.0,46.83,1.25,0.9
2020-11-04,53.15,53.4,51.3,52.7,52.27,3036118.0,6399.0,158689924.0,505337.0,16.64,2.1,-0.45
2020-11-03,51.95,53.7,51.9,53.5,52.81,3424174.0,7690.0,180832726.0,1376540.0,40.2,1.8,1.55
2020-11-02,50.5,52.45,50.05,51.7,51.23,3088645.0,7082.0,158234753.0,868256.0,28.11,2.4,1.2
2020-10-30,51.35,51.35,49.8,50.5,50.48,2464102.0,7574.0,124393411.0,643228.0,26.1,1.55,-0.85
2020-10-29,51.7,51.75,50.25,51.05,50.8,2677847.0,8102.0,136030891.0,651793.0,24.34,1.5,-0.65
2020-10-28,54.3,54.3,51.6,52.2,53.12,4530870.0,9991.0,240695238.0,739514.0,16.32,2.7,-2.1
2020-10-27,54.1,54.8,53.1,54.05,54.02,3969199.0,6501.0,214413084.0,355058.0,8.95,1.7,-0.05
2020-10-26,56.6,56.6,54.0,54.15,54.94,3304828.0,7246.0,181566010.0,500826.0,15.15,2.6,-2.45
2020-10-23,57.0,57.15,55.9,56.0,56.38,2706269.0,4869.0,152568374.0,528359.0,19.52,1.25,-1.0
2020-10-22,56.5,56.85,55.8,56.55,56.36,3084022.0,3425.0,173815205.0,218378.0,7.08,1.05,0.05
2020-10-21,56.85,58.75,55.75,56.95,57.33,6778921.0,13445.0,388607018.0,2118756.0,31.26,3.0,0.1
2020-10-20,55.6,57.2,55.0,56.85,56.23,4366931.0,9945.0,245557246.0,1542429.0,35.32,2.2,1.25
2020-10-19,53.3,56.6,53.15,56.25,55.24,9078787.0,22406.0,501477411.0,5390813.0,59.38,3.45,2.95
2020-10-16,52.0,53.45,51.45,52.25,52.6,3987594.0,6589.0,209739414.0,577156.0,14.47,2.0,0.25
2020-10-15,53.3,53.95,51.45,51.75,53.16,4674515.0,7944.0,248507671.0,726609.0,15.54,2.5,-1.55
2020-10-14,52.4,53.15,51.3,52.9,52.27,1961454.0,4639.0,102518572.0,465439.0,23.73,1.85,0.5
2020-10-13,52.25,53.0,51.9,52.55,52.39,1249760.0,3038.0,65471244.0,363751.0,29.11,1.1,0.3
2020-10-12,53.4,54.25,52.25,52.5,53.22,2386210.0,6257.0,126995083.0,844258.0,35.38,2.0,-0.9
2020-10-09,52.05,53.15,51.75,52.95,52.66,2162156.0,5444.0,113849571.0,836703.0,38.7,1.4,0.9
2020-10-08,51.25,53.15,51.25,52.2,52.44,1623393.0,5062.0,85123298.0,520677.0,32.07,1.9,0.95
2020-10-07,51.95,51.95,50.75,51.4,51.37,853175.0,1461.0,43826247.0,125425.0,14.7,1.2,-0.55
2020-10-06,51.0,51.95,50.65,51.7,51.25,1825700.0,4425.0,93575859.0,648108.0,35.5,1.3,0.7
2020-10-05,51.1,52.25,50.25,50.8,51.28,2591594.0,6883.0,132899254.0,772179.0,29.8,2.0,-0.3
2020-10-01,49.2,50.65,49.1,50.55,50.08,1122018.0,1990.0,56189427.0,243560.0,21.71,1.55,1.35
2020-09-30,49.5,49.55,48.45,48.55,48.89,1395815.0,4140.0,68238076.0,365816.0,26.21,1.1,-0.95
2020-09-29,50.8,50.85,48.9,49.2,49.61,685940.0,1490.0,34029333.0,156436.0,22.81,1.95,-1.6
2020-09-28,48.9,50.65,48.0,50.5,49.61,2377325.0,6649.0,117941789.0,911321.0,38.33,2.65,1.6
2020-09-25,46.3,47.9,45.4,47.75,46.6,2374534.0,7464.0,110648622.0,608389.0,25.62,2.5,1.45
2020-09-24,46.8,47.9,45.5,45.75,46.35,2605467.0,12578.0,120774619.0,935618.0,35.91,2.4,-1.05
2020-09-23,49.45,49.85,47.5,48.45,48.68,2014319.0,8023.0,98063819.0,478928.0,23.78,2.35,-1.0
2020-09-22,49.75,50.2,47.55,48.9,48.7,1302992.0,3291.0,63457992.0,201023.0,15.43,2.65,-0.85
2020-09-21,51.9,52.0,49.5,49.75,50.65,2285792.0,12099.0,115772819.0,821924.0,35.96,2.5,-2.15
2020-09-18,53.0,53.25,51.0,51.9,52.18,1816053.0,7456.0,94757534.0,541237.0,29.8,2.25,-1.1
2020-09-17,53.2,53.85,52.4,52.7,52.97,823137.0,1887.0,43604002.0,198669.0,24.14,1.45,-0.5
2020-09-16,54.45,54.45,52.85,53.55,53.18,7337645.0,6244.0,390235880.0,6013333.0,81.95,1.6,-0.9
2020-09-15,54.0,54.45,52.9,54.25,53.73,1522796.0,2521.0,81815477.0,381322.0,25.04,1.55,0.25
2020-09-14,52.45,55.0,51.8,53.35,53.88,5605189.0,11142.0,302012316.0,1504666.0,26.84,3.2,0.9
2020-09-11,51.35,52.1,50.9,51.8,51.57,2031400.0,5348.0,104755061.0,417899.0,20.57,1.2,0.45
2020-09-10,52.05,52.5,50.6,51.3,51.69,1869344.0,7116.0,96632681.0,544722.0,29.14,1.9,-0.75
2020-09-09,51.5,51.8,49.75,51.35,50.55,1211296.0,3242.0,61229217.0,264139.0,21.81,2.05,-0.15
2020-09-08,52.9,53.15,51.8,52.1,52.64,1795123.0,7794.0,94489883.0,681443.0,37.96,1.35,-0.8
2020-09-07,54.15,54.15,52.15,52.9,53.07,1232956.0,2838.0,65436992.0,321560.0,26.08,2.0,-1.25
2020-09-04,53.5,55.05,53.5,53.8,54.25,1255877.0,3414.0,68130231.0,372003.0,29.62,1.55,0.3
2020-09-03,56.2,56.7,55.35,55.65,55.88,1403625.0,5013.0,78430041.0,510475.0,36.37,1.35,-0.55
2020-09-02,55.4,56.2,54.2,55.9,55.15,1016914.0,2291.0,56085669.0,156728.0,15.41,2.0,0.5
2020-09-01,55.55,56.8,53.4,54.65,54.49,10023825.0,4960.0,546202639.0,451261.0,4.5,3.4,-0.9
2020-08-31,61.5,62.75,54.75,55.3,58.14,6187616.0,24596.0,359749045.0,2233270.0,36.09,8.0,-6.2
2020-08-28,56.5,61.15,56.4,60.45,59.78,4735110.0,11582.0,283047657.0,1130819.0,23.88,4.75,3.95
2020-08-27,57.0,57.25,56.0,56.1,56.56,843581.0,2283.0,47708775.0,315710.0,37.42,1.25,-0.9
2020-08-26,56.8,57.05,56.3,56.7,56.67,806995.0,1986.0,45734102.0,245390.0,30.41,0.75,-0.1
2020-08-25,57.0,57.5,56.0,56.4,56.75,1446490.0,3276.0,82085656.0,400077.0,27.66,1.5,-0.6
2020-08-24,56.25,57.1,56.0,56.7,56.54,3421731.0,9529.0,193481405.0,1109969.0,32.44,1.1,0.45
2020-08-21,54.9,56.2,54.65,55.9,55.61,4260372.0,10822.0,236932926.0,1622572.0,38.09,1.55,1.0
2020-08-20,54.6,54.8,53.9,54.6,54.45,1413818.0,2382.0,76988522.0,289942.0,20.51,0.9,0.0
2020-08-19,53.65,55.8,53.65,54.9,55.05,2696304.0,4923.0,148427584.0,631536.0,23.42,2.15,1.25
2020-08-18,53.2,53.75,52.5,53.5,53.08,725268.0,1741.0,38500357.0,205427.0,28.32,1.25,0.3
2020-08-17,53.2,53.3,52.15,52.85,52.67,1334404.0,5083.0,70276425.0,425836.0,31.91,1.15,-0.35
2020-08-14,54.4,54.5,52.0,52.6,53.43,858110.0,2289.0,45850132.0,281399.0,32.79,2.5,-1.8
2020-08-13,54.1,55.0,53.85,53.95,54.36,973421.0,1821.0,52917113.0,222643.0,22.87,1.15,-0.15
2020-08-12,54.45,54.45,53.5,54.0,54.09,795607.0,1809.0,43032202.0,228309.0,28.7,0.95,-0.45
2020-08-11,54.1,54.5,53.6,54.25,54.1,1574528.0,5193.0,85189598.0,823211.0,52.28,0.9,0.15
2020-08-10,55.05,55.3,53.65,53.9,54.44,920369.0,2615.0,50102300.0,312677.0,33.97,1.65,-1.15
2020-08-07,52.65,55.0,52.3,54.6,53.81,1773153.0,4562.0,95411284.0,464508.0,26.2,2.7,1.95
2020-08-06,53.0,53.3,51.7,52.45,52.47,7517175.0,5409.0,394449948.0,5474491.0,72.83,1.6,-0.55
2020-08-05,52.45,53.3,52.2,52.35,52.68,2560910.0,4397.0,134915579.0,675780.0,26.39,1.1,-0.1
2020-08-04,53.25,53.25,52.1,52.3,52.52,704767.0,1779.0,37011997.0,166806.0,23.67,1.15,-0.95
2020-08-03,53.5,54.2,52.3,52.45,52.95,820465.0,2086.0,43444109.0,240822.0,29.35,1.9,-1.05
2020-07-31,54.35,54.5,53.1,53.85,53.79,700105.0,1814.0,37659755.0,140148.0,20.02,1.4,-0.5
2020-07-30,55.45,56.3,53.95,54.15,55.09,642558.0,1916.0,35399430.0,160736.0,25.02,2.35,-1.3
2020-07-29,55.6,56.85,55.35,55.8,56.13,1206518.0,2077.0,67723755.0,170107.0,14.1,1.5,0.2
2020-07-28,56.0,56.85,55.25,55.55,56.02,1243733.0,4549.0,69675846.0,364042.0,29.27,1.6,-0.45
2020-07-27,57.9,57.9,55.1,56.0,56.24,1002487.0,2694.0,56382572.0,246814.0,24.62,2.8,-1.9
2020-07-24,56.75,58.6,55.4,57.5,56.94,1751710.0,4010.0,99735773.0,296849.0,16.95,3.2,0.75
2020-07-23,57.3,57.7,56.3,57.05,57.06,1627850.0,4948.0,92891773.0,392839.0,24.13,1.4,-0.25
2020-07-22,54.8,57.2,53.15,56.65,55.31,2137262.0,4968.0,118204811.0,433887.0,20.3,4.05,1.85
2020-07-21,54.8,54.8,53.8,54.45,54.24,1020045.0,2572.0,55326297.0,278006.0,27.25,1.0,-0.35
2020-07-20,52.95,54.25,52.3,53.65,53.3,2904666.0,7615.0,154807181.0,1282893.0,44.17,1.95,0.7
2020-07-17,53.1,53.5,51.2,52.1,52.17,2245868.0,6752.0,117168633.0,564435.0,25.13,2.3,-1.0
2020-07-16,51.95,53.7,50.55,52.05,52.34,4426467.0,10836.0,231672831.0,927102.0,20.94,3.15,0.1
2020-07-15,52.15,53.0,49.35,49.85,51.05,2005084.0,4382.0,102350032.0,379611.0,18.93,3.65,-2.3
2020-07-14,52.5,53.15,50.65,51.1,51.52,1683080.0,5916.0,86719804.0,527245.0,31.33,2.5,-1.4
2020-07-13,54.7,54.9,52.8,53.1,53.34,1176723.0,1987.0,62764261.0,312624.0,26.57,2.1,-1.6
2020-07-10,54.95,56.0,53.95,54.2,54.72,1053185.0,1952.0,57629318.0,217124.0,20.62,2.05,-0.75
2020-07-09,55.4,55.6,54.5,55.2,54.92,1083503.0,1871.0,59508184.0,175624.0,16.21,1.1,-0.2
2020-07-08,56.0,56.2,54.15,54.4,55.44,1161122.0,2616.0,64374832.0,267990.0,23.08,2.05,-1.6
2020-07-07,54.2,56.2,52.25,55.9,54.84,2820522.0,4952.0,154664798.0,455675.0,16.16,3.95,1.7
2020-07-06,53.8,54.7,53.55,53.65,54.15,882448.0,2204.0,47788853.0,173393.0,19.65,1.15,-0.15
2020-07-03,54.0,54.0,52.55,53.0,52.97,742477.0,1626.0,39326919.0,152175.0,20.5,1.45,-1.0
2020-07-02,53.8,54.25,53.3,53.55,53.85,918414.0,2066.0,49456548.0,165897.0,18.06,0.95,-0.25
2020-07-01,50.75,53.35,50.75,53.15,52.62,1897688.0,5531.0,99861036.0,749305.0,39.49,2.6,2.4
2020-06-30,52.25,52.8,50.7,51.0,51.7,1181802.0,3794.0,61095143.0,352327.0,29.81,2.1,-1.25
2020-06-29,52.9,53.0,51.25,51.6,51.89,1390871.0,5325.0,72165998.0,441382.0,31.73,1.75,-1.3
2020-06-26,52.55,54.9,52.55,53.45,53.88,2037792.0,4024.0,109788342.0,355975.0,17.47,2.35,0.9
2020-06-25,53.0,53.65,51.2,52.15,52.35,2149904.0,4179.0,112540031.0,369129.0,17.17,2.45,-0.85
2020-06-24,57.1,58.05,52.8,53.2,55.37,3860955.0,11106.0,213782459.0,863522.0,22.37,5.25,-3.9
2020-06-23,54.9,57.0,54.45,56.45,55.35,7365283.0,7484.0,407651491.0,5085516.0,69.05,2.55,1.55
2020-06-22,51.8,56.0,51.5,54.3,54.38,5172876.0,13735.0,281313671.0,1418436.0,27.42,4.5,2.5
2020-06-19,48.0,51.25,47.95,50.95,49.86,4519783.0,10332.0,225372821.0,1664880.0,36.84,3.3,2.95
2020-06-18,46.0,48.4,46.0,48.2,47.38,1717672.0,4517.0,81382015.0,610132.0,35.52,2.4,2.2
2020-06-17,46.0,47.5,45.7,46.75,46.83,1377181.0,2342.0,64492065.0,253683.0,18.42,1.8,0.75
2020-06-16,47.5,48.75,45.7,46.75,47.42,2340035.0,5668.0,110956895.0,666293.0,28.47,3.05,-0.75
2020-06-15,48.75,48.85,46.4,46.55,47.28,1310403.0,4705.0,61956503.0,311617.0,23.78,2.45,-2.2
2020-06-12,45.3,49.35,44.4,48.85,46.89,2055074.0,4242.0,96361727.0,287768.0,14.0,4.95,3.55
2020-06-11,50.0,50.7,47.75,47.95,49.32,1553360.0,3625.0,76608725.0,341372.0,21.98,2.95,-2.05
2020-06-10,48.0,50.1,48.0,49.85,49.27,1203323.0,2527.0,59292416.0,288834.0,24.0,2.1,1.85
2020-06-09,48.4,49.95,46.9,48.4,48.63,1742951.0,3339.0,84752350.0,214331.0,12.3,3.05,0.0
2020-06-08,48.6,50.35,47.6,48.1,48.94,2487670.0,5757.0,121754284.0,662172.0,26.62,2.75,-0.5
2020-06-05,45.7,47.6,45.7,47.3,47.02,1151243.0,2780.0,54128444.0,246450.0,21.41,1.9,1.6
2020-06-04,47.15,48.0,45.3,45.65,46.52,1633390.0,3682.0,75982773.0,398923.0,24.42,2.7,-1.5
2020-06-03,48.25,48.85,46.6,47.15,48.12,1752692.0,3885.0,84344521.0,505673.0,28.85,2.25,-1.1
2020-06-02,47.0,48.05,45.95,47.65,47.22,1931865.0,5510.0,91218252.0,362045.0,18.74,2.1,0.65
2020-06-01,46.45,47.25,45.65,46.65,46.51,2299931.0,7184.0,106969444.0,596204.0,25.92,1.6,0.2
